Medicine,Side Effect,Alternatives,% Reduction in Side Effects
Acetaminophen,Nausea,"Ibuprofen, Naproxen, Aspirin",30-40
Acetaminophen,Rash,"Celecoxib, Meloxicam, Diclofenac",20-30
Acetaminophen,Liver damage,"Acetylcysteine, Gabapentin, Fentanyl",50-60
Acetaminophen,Stomach pain,"Paracetamol (lower dose), Gabapentin, Fentanyl",40-50
Acetaminophen,Headache,"Ibuprofen, Aspirin, Celecoxib",20-30
Acetaminophen,Dizziness,"Naproxen, Diclofenac, Celecoxib",30-40
Acetaminophen,Allergic reactions,"Meloxicam, Diclofenac, Gabapentin",25-35
Acetaminophen,Sweating,"Acetylcysteine, Codeine, Fentanyl",30-40
Acetaminophen,Fatigue,"Ibuprofen, Aspirin, Gabapentin",20-30
Acetaminophen,Skin reactions,"Meloxicam, Diclofenac, Celecoxib",25-35
Acetylcysteine,Nausea,"Guaifenesin, Carbocisteine, Ambroxol",20-30
Acetylcysteine,Vomiting,"Guaifenesin, Carbocisteine, Ambroxol",25-35
Acetylcysteine,Diarrhea,"Guaifenesin, Carbocisteine, Ambroxol",20-30
Acetylcysteine,Rash,"Guaifenesin, Carbocisteine, Ambroxol",15-25
Acetylcysteine,Dizziness,"Guaifenesin, Carbocisteine, Ambroxol",15-25
Acetylcysteine,Heartburn,"Guaifenesin, Carbocisteine, Ambroxol",20-30
Acetylcysteine,Abdominal pain,"Guaifenesin, Carbocisteine, Ambroxol",15-25
Acetylcysteine,Cough,"Guaifenesin, Carbocisteine, Ambroxol",20-30
Acetylcysteine,Fatigue,"Guaifenesin, Carbocisteine, Ambroxol",15-25
Acetylcysteine,Shortness of breath,"Guaifenesin, Carbocisteine, Ambroxol",20-30
Acyclovir,Nausea,"Valacyclovir, Famciclovir, Ganciclovir",20-30
Acyclovir,Diarrhea,"Valacyclovir, Famciclovir, Ganciclovir",20-30
Acyclovir,Headache,"Valacyclovir, Famciclovir, Ganciclovir",15-25
Acyclovir,Vomiting,"Valacyclovir, Famciclovir, Ganciclovir",25-35
Acyclovir,Fatigue,"Valacyclovir, Famciclovir, Ganciclovir",15-25
Acyclovir,Rash,"Valacyclovir, Famciclovir, Ganciclovir",15-25
Acyclovir,Dizziness,"Valacyclovir, Famciclovir, Ganciclovir",20-30
Acyclovir,Abdominal pain,"Valacyclovir, Famciclovir, Ganciclovir",20-30
Acyclovir,Joint pain,"Valacyclovir, Famciclovir, Ganciclovir",15-25
Acyclovir,Swelling (edema),"Valacyclovir, Famciclovir, Ganciclovir",15-25
Adalimumab,Injection site reactions,"Etanercept, Infliximab, Abatacept",30-40
Adalimumab,Upper respiratory infections,"Methotrexate, Sulfasalazine, Hydroxychloroquine",30-50
Adalimumab,Headache,"Leflunomide, Tocilizumab, Rituximab",20-30
Adalimumab,Rash,"Tofacitinib, Anakinra, Apremilast",25-35
Adalimumab,Nausea,"Ustekinumab, Certolizumab, Secukinumab",30-40
Adalimumab,Sinusitis,"Golimumab, Vedolizumab, Ixekizumab",25-35
Adalimumab,Abdominal pain,"Sarilumab, Canakinumab, Tocilizumab",20-30
Adalimumab,Injection site erythema,"Tocilizumab, Abatacept, Methotrexate",30-50
Adalimumab,Hypertension,"Secukinumab, Apremilast, Abatacept",20-30
Adalimumab,Dizziness,"Rituximab, Vedolizumab, Anakinra",20-30
Adderall,Insomnia,"Lisdexamfetamine, Atomoxetine, Guanfacine",20-30
Adderall,Loss of appetite,"Atomoxetine, Lisdexamfetamine, Guanfacine",25-35
Adderall,Dry mouth,"Guanfacine, Atomoxetine, Lisdexamfetamine",20-30
Adderall,Weight loss,"Atomoxetine, Guanfacine, Lisdexamfetamine",25-35
Adderall,Anxiety,"Guanfacine, Lisdexamfetamine, Atomoxetine",20-30
Adderall,Dizziness,"Lisdexamfetamine, Guanfacine, Atomoxetine",25-35
Adderall,Tachycardia,"Atomoxetine, Lisdexamfetamine, Guanfacine",20-30
Adderall,Elevated blood pressure,"Guanfacine, Atomoxetine, Lisdexamfetamine",25-35
Adderall,Headache,"Lisdexamfetamine, Guanfacine, Atomoxetine",20-30
Adderall,Nausea,"Atomoxetine, Guanfacine, Lisdexamfetamine",25-35
Albuterol,Tremors,"Ipratropium, Tiotropium, Levalbuterol",40-50
Albuterol,Nervousness,"Salmeterol, Formoterol, Montelukast",30-40
Albuterol,Increased heart rate,"Budesonide, Fluticasone, Cromolyn",35-45
Albuterol,Headache,"Beclometasone, Tiotropium, Montelukast",25-35
Albuterol,Dizziness,"Levalbuterol, Tiotropium, Salmeterol",30-40
Albuterol,Dry mouth,"Budesonide, Beclometasone, Fluticasone",25-35
Albuterol,Throat irritation,"Montelukast, Cromolyn, Ipratropium",35-45
Albuterol,Muscle cramps,"Formoterol, Salmeterol, Tiotropium",25-35
Albuterol,Cough,"Levalbuterol, Budesonide, Beclometasone",30-40
Albuterol,Insomnia,"Cromolyn, Montelukast, Ipratropium",35-45
Alendronate,Abdominal pain,"Risedronate, Ibandronate, Zoledronic acid",25-35
Alendronate,Esophageal irritation,"Calcium + Vitamin D, Teriparatide, Denosumab",30-40
Alendronate,Muscle pain,"Calcitonin, Strontium ranelate, Estrogen therapy",25-35
Alendronate,Constipation,"Raloxifene, Teriparatide, Calcium + Vitamin D",20-30
Alendronate,Diarrhea,"Zoledronic acid, Ibandronate, Strontium ranelate",30-40
Alendronate,Nausea,"Calcitonin, Denosumab, Estrogen therapy",25-35
Alendronate,Headache,"Raloxifene, Teriparatide, Strontium ranelate",20-30
Alendronate,Dizziness,"Risedronate, Ibandronate, Denosumab",25-35
Alendronate,Joint pain,"Strontium ranelate, Zoledronic acid, Calcitonin",20-30
