Medicine,Side Effect,Seriousness,Severity Score,Frequency,Active Ingredient,Alternatives
Acetaminophen,Arthralgia,Non-Serious,0,206,acetaminophen,"acetaminophen , chlorpheniramine maleate , dextromethorphan hydrobromide  , guaifenesin"
Acetaminophen,Cardiac disorder,Serious,0,151,acetaminophen,"acetaminophen , chlorpheniramine maleate , dextromethorphan hydrobromide  , guaifenesin"
Acetaminophen,Completed suicide,Serious,0.6,164,acetaminophen,"acetaminophen , chlorpheniramine maleate , dextromethorphan hydrobromide  , guaifenesin"
Acetaminophen,Diarrhoea,Non-Serious,0,293,acetaminophen,"acetaminophen , chlorpheniramine maleate , dextromethorphan hydrobromide  , guaifenesin"
Acetaminophen,Dizziness,Serious,0,191,acetaminophen,"acetaminophen , chlorpheniramine maleate , dextromethorphan hydrobromide  , guaifenesin"
Acetaminophen,Drug abuse,Serious,0.4,315,acetaminophen,"acetaminophen , chlorpheniramine maleate , dextromethorphan hydrobromide  , guaifenesin"
Acetaminophen,Drug ineffective,Non-Serious,0,386,acetaminophen,"acetaminophen , chlorpheniramine maleate , dextromethorphan hydrobromide  , guaifenesin"
Acetaminophen,Drug interaction,Serious,0.5,184,acetaminophen,"acetaminophen , chlorpheniramine maleate , dextromethorphan hydrobromide  , guaifenesin"
Acetaminophen,Dyspnoea,Non-Serious,0,244,acetaminophen,"acetaminophen , chlorpheniramine maleate , dextromethorphan hydrobromide  , guaifenesin"
Acetaminophen,Exposure via ingestion,Serious,0.6,219,acetaminophen,"acetaminophen , chlorpheniramine maleate , dextromethorphan hydrobromide  , guaifenesin"
Acetaminophen,Fatigue,Serious,0.2,280,acetaminophen,"acetaminophen , chlorpheniramine maleate , dextromethorphan hydrobromide  , guaifenesin"
Acetaminophen,Headache,Non-Serious,0,257,acetaminophen,"acetaminophen , chlorpheniramine maleate , dextromethorphan hydrobromide  , guaifenesin"
Acetaminophen,Nausea,Serious,0.2,326,acetaminophen,"acetaminophen , chlorpheniramine maleate , dextromethorphan hydrobromide  , guaifenesin"
Acetaminophen,Off label use,Serious,0.2,151,acetaminophen,"acetaminophen , chlorpheniramine maleate , dextromethorphan hydrobromide  , guaifenesin"
Acetaminophen,Pain,Serious,0.2,282,acetaminophen,"acetaminophen , chlorpheniramine maleate , dextromethorphan hydrobromide  , guaifenesin"
Acetaminophen,Pain in extremity,Non-Serious,0,186,acetaminophen,"acetaminophen , chlorpheniramine maleate , dextromethorphan hydrobromide  , guaifenesin"
Acetaminophen,Pneumonia,Serious,0.5,200,acetaminophen,"acetaminophen , chlorpheniramine maleate , dextromethorphan hydrobromide  , guaifenesin"
Acetaminophen,Poisoning,Serious,0.6,138,acetaminophen,"acetaminophen , chlorpheniramine maleate , dextromethorphan hydrobromide  , guaifenesin"
Acetaminophen,Pyrexia,Serious,0.2,229,acetaminophen,"acetaminophen , chlorpheniramine maleate , dextromethorphan hydrobromide  , guaifenesin"
Acetaminophen,Toxicity to various agents,Serious,0.4,322,acetaminophen,"acetaminophen , chlorpheniramine maleate , dextromethorphan hydrobromide  , guaifenesin"
Acetaminophen,Vomiting,Serious,0.6,294,acetaminophen,"acetaminophen , chlorpheniramine maleate , dextromethorphan hydrobromide  , guaifenesin"
Adalimumab,Arthralgia,Serious,0.4,229,adalimumab-adbm,"adalimumab, methotrexate"
Adalimumab,Diarrhoea,Serious,0,276,adalimumab-adbm,"adalimumab, methotrexate"
Adalimumab,Dizziness,Serious,0.4,139,adalimumab-adbm,"adalimumab, methotrexate"
Adalimumab,Drug ineffective,Serious,0,418,adalimumab-adbm,"adalimumab, methotrexate"
Adalimumab,Dyspnoea,Serious,0.4,162,adalimumab-adbm,"adalimumab, methotrexate"
Adalimumab,Fatigue,Serious,0,226,adalimumab-adbm,"adalimumab, methotrexate"
Adalimumab,Headache,Serious,0.2,183,adalimumab-adbm,"adalimumab, methotrexate"
