Disease,Symptom,Precaution
immuno-deficiency syndrome,"fever, night sweat, spontaneous rupture of membranes, cough, , decreased body weight, chill, diarrhea, pleuritic pain, patient non compliance, tachypnea, productive cough, muscle hypotonia, hypotonic, feeling suicidal","Maintain good hygiene, Avoid contact with sick individuals, Follow a balanced diet "
adenocarcinoma,"mass of body structure, lesion, decreased body weight, constipation, fremitus, decreased stool caliber, satiety early, hematochezia, egophony, pain, cicatrisation, scar tissue, pain abdominal","Avoid smoking and tobacco use, Maintain a healthy diet rich in fruits and vegetables, Regularly schedule screenings and medical check-ups "
adhesion,"flatulence, pain, large-for-dates fetus, para 1, vomiting, lung nodule, breech presentation, shortness of breath, decreased body weight, immobile, unsteady gait, hallucinations visual, feeling suicidal","Avoid unnecessary abdominal surgeries, Use barrier methods during surgery, Follow post-surgical care instructions closely "
chronic alcoholic intoxication,"tremor, hallucinations auditory, suicidal, hoard, irritable mood, feeling hopeless, feeling suicidal, neologism, seizure, homelessness, sleeplessness, unconscious state, panic, breath sounds decreased, shortness of breath","Limit alcohol consumption, Seek counselling or support groups, Maintain a balanced diet and hydration "
Alzheimer's disease,"drool, agitation, nightmare, rhonchus, consciousness clear, pin-point pupils, bedridden, bedridden, frail, tremor resting, hyperkalemia, facial paresis, groggy, muscle twitch, wheelchair bound, tremor, cough, fever","Engage in regular physical exercise, Maintain a healthy diet rich in fruits and vegetables, Stay mentally and socially active "
anemia,"chill, guaiac positive, monoclonal, ecchymosis, tumor cell invasion, haemorrhage, pallor, asthenia, fatigue, heme positive, pain back, orthostasis, hyponatremia, dizziness, shortness of breath, pain, rhonchus, arthralgia, swelling, transaminitis","Eat iron-rich foods, Take prescribed iron supplements, Regularly monitor hemoglobin levels "
sickle cell anemia,"breakthrough pain, pain back, pain, shortness of breath, snuffle, pain chest, pain abdominal, hepatosplenomegaly, green sputum, apyrexial, headache","Stay hydrated, Avoid extreme temperatures, Regularly monitor and manage pain episodes"
stenosis aortic valve,"dyspnea on exertion, syncope, chest discomfort, systolic murmur, sciatica, angina pectoris, pain chest, frothy sputum, bradycardia, shortness of breath, pain","Monitor heart health regularly, Avoid strenuous activities, Follow prescribed medications and treatments"
aphasia,"clonus, egophony, facial paresis, aphagia, muscle twitch, paralyse, low back pain, charleyhorse","Engage in speech therapy, Practice communication exercises regularly, Use assistive communication devices if needed "
arthritis,"pain, hemodynamically stable, sleeplessness, asthenia, syncope, swelling, atypia, general unsteadiness, shortness of breath, distended abdomen","Maintain a healthy weight, Engage in regular low-impact exercise, Use joint protection techniques "
